"title","author","subject","abstract","date"
"convex co-compact hyperbolic manifolds are determined by their pleating lamination","bruno dular, jean-marc schlenker","geometric topology","convex co-compact 3-dimensional hyperbolic manifolds are uniquely determined by the pleating measured lamination on the boundary of their convex core.",2024-03-15
"$\mathbb{z}$-disks in $\mathbb{c} p^2$","anthony conway, irving dai, maggie miller","geometric topology","we study locally flat disks in $(\mathbb{c} p^2)^\circ:=(\mathbb{c} p^2)\setminus \mathring{b^4}$ with boundary a fixed knot $k$ and whose complement has fundamental group $\mathbb{z}$. we show that up to topological isotopy rel. boundary, such disks necessarily arise by performing a positive crossing change on $k$ to an alexander polynomial one knot and capping off with a $\mathbb{z}$-disk in $d^4.$ such a crossing change determines a loop in $s^3 \setminus k$ and we prove that the homology class of its lift to the infinite cyclic cover leads to a complete invariant of the disk. we prove that this determines a bijection between the set of rel. boundary topological isotopy classes of $\mathbb{z}$-disks with boundary $k$ and a quotient of the set of unitary units of the ring $\mathbb{z}[t^{\pm 1}]/(\delta_k)$. number-theoretic considerations allow us to deduce that a knot $k \subset s^3$ with quadratic alexander polynomial bounds $0,1,2,4$, or infinitely many $\mathbb{z}$-disks in $(\mathbb{c} p^2)^\circ$. this leads to the first examples of knots bounding infinitely many topologically distinct disks whose exteriors have the same fundamental group and equivariant intersection form. finally we give several examples where these disks are realized smoothly.",2024-03-15
"birational maps to grassmannians, representations and poset polytopes","evgeny feigin, with an appendix in collaboration with wojciech samotij","algebraic geometry","we study the closure of the graph of the birational map from a projective space to a grassmannian. we provide explicit description of the graph closure and compute the fibers of the natural projection to the grassmannian. we construct embeddings of the graph closure to the projectivizations of certain cyclic representations of a degenerate special linear lie algebra and study algebraic and combinatorial properties of these representations. in particular, we describe monomial bases, generalizing the fflv bases. the proof relies on combinatorial properties of a new family of poset polytopes, which are of independent interest. as a consequence we obtain flat toric degenerations of the graph closure studied by borovik, sturmfels and sverrisdóttir.",2024-03-15
"a structure-preserving kernel method for learning hamiltonian systems","jianyu hu, juan-pablo ortega, daiying yin","machine learning","a structure-preserving kernel ridge regression method is presented that allows the recovery of potentially high-dimensional and nonlinear hamiltonian functions out of datasets made of noisy observations of hamiltonian vector fields. the method proposes a closed-form solution that yields excellent numerical performances that surpass other techniques proposed in the literature in this setup. from the methodological point of view, the paper extends kernel regression methods to problems in which loss functions involving linear functions of gradients are required and, in particular, a differential reproducing property and a representer theorem are proved in this context. the relation between the structure-preserving kernel estimator and the gaussian posterior mean estimator is analyzed. a full error analysis is conducted that provides convergence rates using fixed and adaptive regularization parameters. the good performance of the proposed estimator is illustrated with various numerical experiments.",2024-03-15
"unified projection-free algorithms for adversarial dr-submodular optimization","mohammad pedramfar, yididiya y. nadew, christopher j. quinn, vaneet aggarwal","machine learning","this paper introduces unified projection-free frank-wolfe type algorithms for adversarial continuous dr-submodular optimization, spanning scenarios such as full information and (semi-)bandit feedback, monotone and non-monotone functions, different constraints, and types of stochastic queries. for every problem considered in the non-monotone setting, the proposed algorithms are either the first with proven sub-linear $\alpha$-regret bounds or have better $\alpha$-regret bounds than the state of the art, where $\alpha$ is a corresponding approximation bound in the offline setting. in the monotone setting, the proposed approach gives state-of-the-art sub-linear $\alpha$-regret bounds among projection-free algorithms in 7 of the 8 considered cases while matching the result of the remaining case. additionally, this paper addresses semi-bandit and bandit feedback for adversarial dr-submodular optimization, advancing the understanding of this optimization area.",2024-03-15
"product of rectangular toeplitz (hankel) matrices","said bensliman, ameur yagoub, kamel toumache","functional analysis","in this paper, we study products of asymmetric toeplitz matrices, we give necessary and sufficient conditions for the product of two asymmetric toeplitz matrices compatible sizes is asymmetric toeplitz matrix. we also give some results related to the isometry.",2024-03-15
"global rigidity of smooth ${\mathbb z}\ltimes_λ{\mathbb r}$-actions on ${\mathbb t}^2$","changguang dong, yi shi","dynamical systems","for $\lambda>1$, we consider the locally free ${\mathbb z}\ltimes_\lambda{\mathbb r}$ actions on ${\mathbb t}^2$. we show that, if the action is $c^r$ with $r\geq2$, then it is $c^{r-\epsilon}$-conjugate to an affine action generated by a hyperbolic automorphism and a linear translation flow along expanding eigen-direction of the automorphism. in contrast, there exists a $c^{1+\alpha}$-action which is semi-conjugate, but not topologically conjugate to an affine action.",2024-03-15
"the table of the structure constants for the complex simple lie algebra of type e_6 and chevalley commutator formulas in the chevalley group of type e_6 over a field","anna i. polovinkina, sergey g. kolesnikov","group theory","this article is the third in the series. it is devoted the calculation of the structure constants for the complex simple lie algebra of type e_6 and chevalley commutator formulas.",2024-03-15
"quantum circuits for partial differential equations via schrödingerisation","junpeng hu, shi jin, nana liu, lei zhang","quantum physics","quantum computing has emerged as a promising avenue for achieving significant speedup, particularly in large-scale pde simulations, compared to classical computing. one of the main quantum approaches involves utilizing hamiltonian simulation, which is directly applicable only to schrödinger-type equations. to address this limitation, schrödingerisation techniques have been developed, employing the warped transformation to convert general linear pdes into schrödinger-type equations. however, despite the development of schrödingerisation techniques, the explicit implementation of the corresponding quantum circuit for solving general pdes remains to be designed. in this paper, we present detailed implementation of a quantum algorithm for general pdes using schrödingerisation techniques. we provide examples of the heat equation, and the advection equation approximated by the upwind scheme, to demonstrate the effectiveness of our approach. complexity analysis is also carried out to demonstrate the quantum advantages of these algorithms in high dimensions over their classical counterparts.",2024-03-15
"moduli difference of inverse logarithmic coefficients of univalent functions","vasudevarao allu, amal shaji","complex variables","let $f$ be analytic in the unit disk and $\mathcal{s}$ be the subclass of normalized univalent functions with $f(0) = 0$, and $f'(0) = 1$. let $f$ be the inverse function of $f$, given by $f(w)=w+\sum_{n=2}^{\infty}a_nw^n$ defined on some disk $|w|\le r_0(f)$. the inverse logarithmic coefficients $\gamma_n$, $n \in \mathbb{n}$, of $f$ are defined by the equation $ \log(f(w)/w)=2\sum_{n=1}^{\infty}\gamma_{n}w^{n},\,|w|<1/4.$ in this paper, we find the sharp upper and lower bounds for moduli difference of second and first inverse logarithmic coefficients, {\em i.e.,} $|\gamma_2|-|\gamma_1|$ for functions in class $\mathcal{s}$ and for functions in some important subclasses of univalent functions.",2024-03-15
"on the existence and regularity for stationary boltzmann equation in a small domain","i-kun chen, chun-hsiung hsia, daisuke kawagoe, jhe-kuan su","analysis of pdes","in this article, we study the stationary boltzmann equation with the incoming boundary condition for the hard potential cases. assuming the smallness of the domain and a suitable normal curvature condition on the boundary, we find a suitable solution space which is a proper subset of the $w^{1,p}$ space.",2024-03-15
"linear optimal transport subspaces for point set classification","mohammad shifat e rabbi, naqib sad pathan, shiying li, yan zhuang, abu hasnat mohammad rubaiyat, gustavo k rohde","computer vision and pattern recognition","learning from point sets is an essential component in many computer vision and machine learning applications. native, unordered, and permutation invariant set structure space is challenging to model, particularly for point set classification under spatial deformations. here we propose a framework for classifying point sets experiencing certain types of spatial deformations, with a particular emphasis on datasets featuring affine deformations. our approach employs the linear optimal transport (lot) transform to obtain a linear embedding of set-structured data. utilizing the mathematical properties of the lot transform, we demonstrate its capacity to accommodate variations in point sets by constructing a convex data space, effectively simplifying point set classification problems. our method, which employs a nearest-subspace algorithm in the lot space, demonstrates label efficiency, non-iterative behavior, and requires no hyper-parameter tuning. it achieves competitive accuracies compared to state-of-the-art methods across various point set classification tasks. furthermore, our approach exhibits robustness in out-of-distribution scenarios where training and test distributions vary in terms of deformation magnitudes.",2024-03-15
"lyznet: a lightweight python tool for learning and verifying neural lyapunov functions and regions of attraction","jun liu, yiming meng, maxwell fitzsimmons, ruikun zhou","systems and control","in this paper, we describe a lightweight python framework that provides integrated learning and verification of neural lyapunov functions for stability analysis. the proposed tool, named lyznet, learns neural lyapunov functions using physics-informed neural networks (pinns) to solve zubov's equation and verifies them using satisfiability modulo theories (smt) solvers. what distinguishes this tool from others in the literature is its ability to provide verified regions of attraction close to the domain of attraction. this is achieved by encoding zubov's partial differential equation (pde) into the pinn approach. by embracing the non-convex nature of the underlying optimization problems, we demonstrate that in cases where convex optimization, such as semidefinite programming, fails to capture the domain of attraction, our neural network framework proves more successful. the tool also offers automatic decomposition of coupled nonlinear systems into a network of low-dimensional subsystems for compositional verification. we illustrate the tool's usage and effectiveness with several numerical examples, including both non-trivial low-dimensional nonlinear systems and high-dimensional systems. the repository of the tool can be found at this https url.",2024-03-15
"compositionally verifiable vector neural lyapunov functions for stability analysis of interconnected nonlinear systems","jun liu, yiming meng, maxwell fitzsimmons, ruikun zhou","systems and control","while there has been increasing interest in using neural networks to compute lyapunov functions, verifying that these functions satisfy the lyapunov conditions and certifying stability regions remain challenging due to the curse of dimensionality. in this paper, we demonstrate that by leveraging the compositional structure of interconnected nonlinear systems, it is possible to verify neural lyapunov functions for high-dimensional systems beyond the capabilities of current satisfiability modulo theories (smt) solvers using a monolithic approach. our numerical examples employ neural lyapunov functions trained by solving zubov's partial differential equation (pde), which characterizes the domain of attraction for individual subsystems. these examples show a performance advantage over sums-of-squares (sos) polynomial lyapunov functions derived from semidefinite programming.",2024-03-15
"toric ranks and component groups of jacobians of modular curves","paul alexander helminck","number theory","let $p\neq{2,3}$ be a prime number and let $\gamma \subset \mathrm{sl}_{2}(\mathbb{z})$ be a congruence subgroup with modular curve $x_{\gamma}/k$ and jacobian $j(x_{\gamma})$. in this paper we give an explicit group-theoretic description of the semistable toric rank and component group of $j(x_{\gamma})$ at the finite places of $k$ lying over $p$. we first produce a suitable deformation retract of the minimal berkovich skeleton of $x_{h}$ in terms of hecke-iwahori double coset spaces. we call this deformation retract the pruned skeleton of the curve. our description of this skeleton includes a group-theoretic formula for the edge lengths, allowing us to give the component group of the modular curve as the quotient of a lattice using the monodromy pairing. for $x_{0}(n)$, $x_{1}(n)$, $x_{sp}(n)$ and $x_{sp}^{+}(n)$, we explicitly determine the pruned skeleta using a set of coset schemes over $\mathbb{z}$. this in particular recovers results by deligne-rapoport, edixhoven, coleman-mcmurdy and tsushima on the semistable reduction type of $x_{0}(p^{n})$ for $n\leq{4}$. finally, we determine the geometric tamagawa number and the prime-to-$2$ structure of the component group of $x_{0}(n)$ over the extension given by krir's theorem.",2024-03-15
"contracting isometries and differentiability of the escape rate","inhyeok choi","group theory","let $g$ be a countable group whose action on a metric space $x$ involves a contracting isometry. this setting naturally encompasses groups acting on gromov hyperbolic spaces, teichmüller space, culler-vogtmann outer space and cat(0) spaces. we discuss continuity and differentiability of the escape rate of random walks on $g$. for mapping class groups, relatively hyperbolic groups, cat(-1) groups and cat(0) cubical groups, we further discuss analyticity of the escape rate. finally, assuming that the action of $g$ on $x$ is weakly properly discontinuous (wpd), we discuss continuity of the asymptotic entropy of random walks on $g$.",2024-03-15
"dispersive decay for the mass-critical nonlinear schrödinger equation","chenjie fan, rowan killip, monica visan, zehua zhao","analysis of pdes","we prove dispersive decay, pointwise in time, for solutions to the mass-critical nonlinear schrödinger equation in spatial dimensions $d=1,2,3$.",2024-03-15
"universal graph series, chromatic functions, and their index theory","tsuyoshi miezaki, akihiro munemasa, yusaku nishimura, tadashi sakuma, shuhei tsujie","combinatorics","in the present paper, we introduce the concept of universal graph series. we then present four invariants of graphs and discuss some of their properties. in particular, one of these invariants is a generalization of the chromatic symmetric function and a complete invariant for graphs.",2024-03-15
"multivariate gaussian approximation for random forest via region-based stabilization","zhaoyang shi, chinmoy bhattacharjee, krishnakumar balasubramanian, wolfgang polonik","statistics theory","we derive gaussian approximation bounds for random forest predictions based on a set of training points given by a poisson process, under fairly mild regularity assumptions on the data generating process. our approach is based on the key observation that the random forest predictions satisfy a certain geometric property called region-based stabilization. in the process of developing our results for the random forest, we also establish a probabilistic result, which might be of independent interest, on multivariate gaussian approximation bounds for general functionals of poisson process that are region-based stabilizing. this general result makes use of the malliavin-stein method, and is potentially applicable to various related statistical problems.",2024-03-15
"poset polytopes and pipe dreams: toric degenerations and beyond","ievgen makedonskyi, igor makhlin","algebraic geometry","we demonstrate how pipe dreams can be applied to the theory of poset polytopes to produce toric degenerations of flag varieties. specifically, we present such constructions for marked chain-order polytopes of dynkin types a and c. these toric degenerations also give rise to further algebraic and geometric objects such as pbw-monomial bases and newton--okounkov bodies. we discuss a construction of the former in the type a case and of the latter in type c.",2024-03-15
"so(n) aklt chains as symmetry protected topological quantum ground states","michael ragone","mathematical physics","this thesis studies a pair of symmetry protected topological (spt) phases which arise when considering one-dimensional quantum spin systems possessing a natural orthogonal group symmetry. particular attention is given to a family of exactly solvable models whose ground states admit a matrix product state description and generalize the aklt chain. we call these models ``$so(n)$ aklt chains'' and the phase they occupy the ``$so(n)$ haldane phase''. we present new results describing their ground state structure and, when $n$ is even, their peculiar $o(n)$-to-$so(n)$ symmetry breaking. we also prove that these states have arbitrarily large correlation and injectivity length by increasing $n$, but all have a 2-local parent hamiltonian, in contrast to the natural expectation that the interaction range of a parent hamiltonian should diverge as these quantities diverge. we extend ogata's definition of an spt index for a split state for a finite symmetry group $g$ to an spt index for a compact lie group $g$. we then compute this index, which takes values in the second borel group cohomology $h^2(so(n),u(1))$, at a single point in each of the spt phases. the two points have different indices, confirming the two spt phases are indeed distinct. chapter 1 contains an introduction with a detailed overview of the contents of this thesis, which includes several chapters of background information before presenting new results in chapter 7 and chapter 8.",2024-03-15
"a priori $l^\infty-$bound for ginzburg-landau energy minimizers with divergence penalization","lia bronsard, andrew colinet, dominik stantejsky","analysis of pdes","we consider minimizers $u_\varepsilon$ of the ginzburg-landau energy with quadratic divergence penalization on a simply-connected two-dimensional domain $\omega$. on the boundary, strong tangential anchoring is imposed. we prove that minimizers satisfy a $l^\infty$-bound uniform in $\varepsilon$ when $\omega$ has $c^{2,1}-$boundary and that the lipschitz constant blows up like $\varepsilon^{-1}$ when $\omega$ has $c^{3,1}-$boundary. our theorem extends to $w^{2,p}-$regularity result for our elliptic system with mixed dirichlet-neumann boundary condition.",2024-03-15
"cox rings of nef anticanonical rational surfaces","michela artebani, sofía pérez garbayo","algebraic geometry","this paper deals with the problem of computing a generating set for the cox ring $r(x)$ of a smooth projective rational surface $x$ with nef anticanonical class. in case $r(x)$ is finitely generated, we show that the degrees of its generators are either classes of negative curves, elements of the hilbert basis of the nef cone or certain ample classes of anticanonical degree one, which only appear when $x$ is a rational elliptic surface of halphen index $m>2$. moreover, we partially characterize which elements of the hilbert basis of the nef cone are irredundant for generating $r(x)$. we apply this result to compute explicit minimal generating sets for cox rings of some rational elliptic surfaces of halphen index $>1$.",2024-03-15
"the width of a ball in a hypercube","kada williams","combinatorics","various authors have calculated how many pairwise incomparable points can be selected from a partially ordered set. we tackle this question for the family of subsets of a finite set obtained by removing or adding a bounded number of elements from a given subset. our versatile approach is proven valid under the condition of the set size exceeding the cube of the radius.",2024-03-15
"bicausal optimal transport for sdes with irregular coefficients","benjamin a. robinson, michaela szölgyenyi","probability","we solve constrained optimal transport problems between the laws of solutions of stochastic differential equations (sdes). we consider sdes with irregular coefficients, making only minimal regularity assumptions. we show that the so-called synchronous coupling is optimal among bicausal couplings, that is couplings that respect the flow of information encoded in the stochastic processes. our results provide a method to numerically compute the adapted wasserstein distance between laws of sdes with irregular coefficients. moreover, we introduce a transformation-based semi-implicit numerical scheme and establish the first strong convergence result for sdes with exponentially growing and discontinuous drift.",2024-03-15
"global convergence guarantees for federated policy gradient methods with adversaries","swetha ganesh, jiayu chen, gugan thoppe, vaneet aggarwal","machine learning","federated reinforcement learning (frl) allows multiple agents to collaboratively build a decision making policy without sharing raw trajectories. however, if a small fraction of these agents are adversarial, it can lead to catastrophic results. we propose a policy gradient based approach that is robust to adversarial agents which can send arbitrary values to the server. under this setting, our results form the first global convergence guarantees with general parametrization. these results demonstrate resilience with adversaries, while achieving sample complexity of order $\tilde{\mathcal{o}}\left( \frac{1}{\epsilon^2} \left( \frac{1}{n-f} + \frac{f^2}{(n-f)^2}\right)\right)$, where $n$ is the total number of agents and $f$ is the number of adversarial agents.",2024-03-15
"representations from matrix varieties, and filtered rsk","abigail price, ada stelzer, alexander yong","representation theory","matrix schubert varieties (fulton '92) carry natural actions of levi groups. their coordinate rings are thereby levi-representations; what is a combinatorial counting rule for the multiplicities of their irreducibles? when the levi group is a torus, (knutson-miller '04) answers the question. we present a general solution, a common refinement of the multigraded hilbert series, the cauchy identity, and the littlewood-richardson rule. our result applies to any ``bicrystalline'' algebraic variety; we define these using the operators of (kashiwara '95) and of (danilov-koshevoi '05, van leeuwen '06). the proof introduces a ``filtered'' generalization of the robinson-schensted-knuth correspondence.",2024-03-15
"symmetric products of galois-maximal varieties","javier orts","algebraic geometry","the main result of this paper is the proof that all the symmetric products of a finite galois-maximal space are galois-maximal spaces. this applies to the special case of real algebraic varieties, solving the problem first stated by biswas and d'mello in \cite{biswas&d'mello:symmetric_products_m-curves} about symmetric products of maximal curves. we also give characterisations of these spaces and state a new definition that generalises to a larger class of spaces. then, we extend the characterisation in terms of the borel cohomology given in \cite{us} to the new family. finally, we introduce the notion of cohomological stability and cohomological splitting, provide a systematic treatment and relate them with the properties of being a maximal or galois-maximal space. these cohomological properties play an important role in the proof of our main theorem.",2024-03-15
"tensor deli: tensor completion for low cp-rank tensors via random sampling","cullen haselby, mark iwen, santhosh karnik, rongrong wang","numerical analysis","we propose two provably accurate methods for low cp-rank tensor completion - one using adaptive sampling and one using nonadaptive sampling. both of our algorithms combine matrix completion techniques for a small number of slices along with jennrich's algorithm to learn the factors corresponding to the first two modes, and then solve systems of linear equations to learn the factors corresponding to the remaining modes. for order-$3$ tensors, our algorithms follow a ""sandwich"" sampling strategy that more densely samples a few outer slices (the bread), and then more sparsely samples additional inner slices (the bbq-braised tofu) for the final completion. for an order-$d$, cp-rank $r$ tensor of size $n \times \cdots \times n$ that satisfies mild assumptions, our adaptive sampling algorithm recovers the cp-decomposition with high probability while using at most $o(nr\log r + dnr)$ samples and $o(n^2r^2+dnr^2)$ operations. our nonadaptive sampling algorithm recovers the cp-decomposition with high probability while using at most $o(dnr^2\log n + nr\log^2 n)$ samples and runs in polynomial time. numerical experiments demonstrate that both of our methods work well on noisy synthetic data as well as on real world data.",2024-03-15
"integer points in arbitrary convex cones: the case of the psd and soc cones","jesús a. de loera, brittney marsters, luze xu, shixuan zhang","optimization and control","we investigate the semigroup of integer points inside a convex cone. we extend classical results in integer linear programming to integer conic programming. we show that the semigroup associated with nonpolyhedral cones can sometimes have a notion of finite generating set. we show this is true for the cone of positive semidefinite matrices (psd) and the second-order cone (soc). both cones have a finite generating set of integer points, similar in spirit to hilbert bases, under the action of a finitely generated group. we also extend notions of total dual integrality, gomory-chvátal closure, and carathéodory rank to integer points in arbitrary cones.",2024-03-14
"a refined proximal algorithm for nonconvex multiobjective optimization in hilbert spaces","g. c. bento, j. x. cruz neto, j. o. lopes, b. s. mordukhovich, p. r. silva filho","optimization and control","this paper is devoted to general nonconvex problems of multiobjective optimization in hilbert spaces. based on mordukhovich's limiting subgradients, we define a new notion of pareto critical points for such problems, establish necessary optimality conditions for them, and then employ these conditions to develop a refined version of the vectorial proximal point algorithm with providing its detailed convergence analysis. the obtained results largely extend those initiated by bonnel, iusem and svaiter \cite{bonnel2005} for convex vector optimization problems and by bento et al. \cite{bento2018} for nonconvex finite-dimensional problems in terms of clarke's generalized gradients.",2024-03-14
"fregean flows","eric easthope","logic","i humbly introduce a concept i call ""fregean flows,"" a graph theoretic representation of classical logic, to show how higher-dimensional graph characteristics might be useful to prove or perhaps at best show the provability of simple deductive statements typically represented as one-dimensional strings of characters. i apply these to a very simple proof, namely proving the equivalence of two definitions for an abelian group g, an if-and-only-if statement, using a re-representation of statements as vertices and both conjunctions and implications as differently coloured edges. this re-representation of an if-and-only-if is simple but shows unexpected geometry, and i discuss its possible utility in terms of provability through ideas of graph topology, similarities of graph contraction to deductive elimination, and recursion.",2024-03-14
"stability of transversal hamilton cycles and paths","yangyang cheng, katherine staden","combinatorics","given graphs $g_1,\ldots,g_s$ all on a common vertex set and a graph $h$ with $e(h) = s$, a copy of $h$ is \emph{transversal} or \emph{rainbow} if it contains one edge from each $g_i$. we establish a stability result for transversal hamilton cycles: the minimum degree required to guarantee a transversal hamilton cycle can be lowered as long as the graph collection $g_1,\ldots,g_n$ is far in edit distance from several extremal cases. we obtain an analogous result for hamilton paths. the proof is a combination of our newly developed regularity-blow-up method for transversals, along with the absorption method.",2024-03-14
"cokernels of random matrix products and flag cohen--lenstra heuristic","yifeng huang","number theory","in [nvp22], nguyen and van peski raised the question of whether the surjective flag of $\mathbb z_p$-modules modeled by $\mathrm{cok}(m_1\cdots m_k)\twoheadrightarrow \dots\twoheadrightarrow \mathrm{cok}(m_1)$ for independent random matrices $m_1,\dots,m_k\in \mathrm{mat}_n(\mathbb z_p)$ satisfies the cohen--lenstra heuristic. we answer the question affirmatively when $m_1,\dots,m_k$ follow the haar measure, and our proof demonstrates how classical ideas in cohen--lenstra heuristic adapt naturally to the flag setting. we also prove an analogue for non-square matrices.",2024-03-14
"minimizing movements for forced anisotropic curvature flow of droplets","shokhrukh yu. kholmatov","analysis of pdes","we study forced anisotropic curvature flow of droplets on an inhomogeneous horizontal hyperplane. as in [bellettini, kholmatov: j. math. pures appl. (2018)] we establish the existence of smooth flow, starting from a regular droplet and satisfying the prescribed anisotropic young's law, and also the existence of a $1/2$-hölder continuous in time minimizing movement solution starting from a set of finite perimeter. furthermore, we investigate various properties of minimizing movements, including comparison principles, uniform boundedness and the consistency with the smooth flow.",2024-03-14
"overcoming the cohesive zone limit in the modelling of composites delamination with tuba cohesive elements","giorgio tosti balducci, boyang chen","computational engineering, finance, and science","the wide adoption of composite structures in the aerospace industry requires reliable numerical methods to account for the effects of various damage mechanisms, including delamination. cohesive elements are a versatile and physically representative way of modelling delamination. however, using their standard form which conforms to solid substrate elements, multiple elements are required in the narrow cohesive zone, thereby requiring an excessively fine mesh and hindering the applicability in practical scenarios. the present work focuses on the implementation and testing of triangular thin plate substrate elements and compatible cohesive elements, which satisfy c1-continuity in the domain. the improved regularity meets the continuity requirement coming from the kirchhoff plate theory and the triangular shape allows for conformity to complex geometries. the overall model is validated for mode i delamination, the case with the smallest cohesive zone. very accurate predictions of the limit load and crack propagation phase are achieved, using elements as large as 11 times the cohesive zone.",2024-03-14
"hypertangency of plane curves and the algebraic exceptional set","lucia caporaso, amos turchet","algebraic geometry","we investigate plane curves intersecting in at most two unibranched points to study the algebraic exceptional set appearing in standard conjectures of diophantine and hyperbolic geometry. our first result compares the local geometry of two hypertangent curves, i.e. curves having maximal contact at one unibranched point. this is applied to fully describe the exceptional set and, more generally, the hyper-bitangency set, of a plane curve with three components.",2024-03-14
"emerging jordan forms, with applications to critical statistical models and conformal field theory","lawrence liu","mathematical physics","two novel frameworks for handling mathematical and physical problems are introduced. the first, the emerging jordan form, generalizes the concept of the jordan canonical form, a well-established tool of linear algebra. the second, dual jordan quantum physics, generalizes the framework of quantum physics to one in which the hermiticity postulate is considerably relaxed. these frameworks are then used to resolve some long-outstanding problems in theoretical physics, coming from critical statistical models and conformal field theory. i describe these problems and the difficulties involved in finding satisfactory solutions, then show how the concepts of emerging jordan forms and dual jordan quantum physics are naturally suited to overcoming these difficulties. although their applications in this work are limited in scope to rather specific problems, the frameworks themselves are completely general, and i describe ways in which they may be used in other areas of mathematics and physics. several appendices close the work, which include improvements to a widely used computational algorithm and corrections to some published data.",2024-03-14
"quantifying distributional input uncertainty via inflated kolmogorov-smirnov confidence band","motong chen, henry lam, zhenyuan liu","methodology","in stochastic simulation, input uncertainty refers to the propagation of the statistical noise in calibrating input models to impact output accuracy, in addition to the monte carlo simulation noise. the vast majority of the input uncertainty literature focuses on estimating target output quantities that are real-valued. however, outputs of simulation models are random and real-valued targets essentially serve only as summary statistics. to provide a more holistic assessment, we study the input uncertainty problem from a distributional view, namely we construct confidence bands for the entire output distribution function. our approach utilizes a novel test statistic whose asymptotic consists of the supremum of the sum of a brownian bridge and a suitable mean-zero gaussian process, which generalizes the kolmogorov-smirnov statistic to account for input uncertainty. regarding implementation, we also demonstrate how to use subsampling to efficiently estimate the covariance function of the gaussian process, thereby leading to an implementable estimation of the quantile of the test statistic and a statistically valid confidence band. numerical results demonstrate how our new confidence bands provide valid coverage for output distributions under input uncertainty that is not achievable by conventional approaches.",2024-03-14
"which shapes can appear in a curve shortening flow singularity?","sigurd angenent, evan patrick davis, ellie decleene, paige ellingson, ziheng feng, edgar gevorgyan, aris lemmenes, alex moon, tyler joseph tommasi, yamin zhou","differential geometry","we study possible tangles that can occur in singularities of solutions to plane curve shortening flow. we exhibit solutions in which more complicated tangles with more than one self-intersection disappear into a singular point. it seems that there are many examples of this kind and that a complete classification presents a problem similar to the problem of classifying all knots in $\mathbb r^3$. as a particular example, we introduce the so-called $n$-loop curves, which generalize matt grayson's figure-eight curve, and we conjecture a generalization of the coiculescu-schwarz asymptotic bow-tie result, namely, a vanishing $n$-loop, when rescaled anisotropically to fit a square bounding box, converges to a ""squeezed bow-tie,"" i.e. the curve $\{(x, y) : |x|\leq 1, y=\pm x^{n-1}\}\cup\{(\pm 1, y) : |y|\leq 1\}$. as evidence in support of the conjecture, we provide a formal asymptotic analysis on one hand, and a numerical simulation for the cases $n=3$ and $n=4$ on the other.",2024-03-14
"a field theory representation of sum of powers of principal minors and physical applications","m. n. najafi, a. ramezanpour, m. a. rajabpour","quantum physics","we introduce a novel field theory representation for the sum of powers of principal minors (sppm), a mathematical construct with profound implications in quantum mechanics and statistical physics. we begin by establishing a berezin integral formulation of the sppm problem, showcasing its versatility through various symmetries including $su(n)$, its subgroups, and particle-hole symmetry. this representation not only facilitates new analytical approaches but also offers deeper insights into the symmetries of complex quantum systems. for instance, it enables the representation of the hubbard model's partition function in terms of the sppm problem. we further develop three mean field techniques to approximate sppm, each providing unique perspectives and utilities: the first method focuses on the evolution of symmetries post-mean field approximation, the second, based on the bosonic representation, enhances our understanding of the stability of mean field results, and the third employs a variational approach to establish a lower bound for sppm. these methods converge to identical consistency relations and values for sppm, illustrating their robustness. the practical applications of our theoretical advancements are demonstrated through two compelling case studies. first, we exactly solve the sppm problem for the laplacian matrix of a chain, a symmetric tridiagonal matrix, allowing for precise benchmarking of mean-field theory results. second, we present the first analytical calculation of the shannon-rényi entropy for the transverse field ising chain, revealing critical insights into phase transitions and symmetry breaking in the ferromagnetic phase. this work not only bridges theoretical gaps in understanding principal minors within quantum systems but also sets the stage for future explorations in more complex quantum and statistical physics models.",2024-03-14
"finite element approximation for a convective brinkman--forchheimer problem coupled with a heat equation","gilberto campaña, pablo muñoz, enrique otarola","numerical analysis","we investigate a convective brinkman--forchheimer problem coupled with a heat transfer equation. the investigated model considers thermal diffusion and viscosity depending on the temperature. we prove the existence of a solution without restriction on the data and uniqueness when the solution is slightly smoother and the data is suitably restricted. we propose a finite element discretization scheme for the considered model and derive convergence results and a priori error estimates. finally, we illustrate the theory with numerical examples.",2024-03-14
"bounds on the degrees of vector fields","marc chardin, s. hamid hassanzadeh, claudia polini, aron simis, bernd ulrich","commutative algebra","in this article, we study the generalized poincare problem from the opposite perspective, by establishing lower bounds on the degree of the vector field in terms of invariants of the variety.",2024-03-14
